token,address,in_LINK,in_UNI,counterparties,betweenness,seed_frequency,verified_identity,evidence,note
BOTH,0x4c3ccc98c01103be72bcfd29e1d2454c98d1a6e3,True,True,230,0.010719,0.90,Unlabelled routing contract,No name tag; bytecode unverified; methods Execute/Withdraw; counterparties are DEX pools and aggregators,Deployer 0x56E44874...0FBDC6dcF also deployed 0x990636ec... (Etherscan: 1inch Aggregation Executor 5). Likely an unlabelled 1inch executor but not asserted; kept unlabelled so entity merging stays a lower bound. Largest cross-token broker by counterparties.
BOTH,0x4c82d1fbfe28c977cbb58d8c7ff8fcf9f70a2cca,True,True,102,0.001466,0.50,Uniswap: Universal Router (v2 ChainedActions),Verified source Exact Match; contract UniversalRouter; EIP712('UniversalRouter'|'2'); imports modules/uniswap/v4/V4SwapRouter.sol and UniswapImmutables(v2Factory|v3Factory|pairInitCodeHash|poolInitCodeHash); 960687 txns,Non-vanilla variant: constructor includes ChainedActions(params.spokePool) i.e. Across Protocol integration. Distinct deployment from 0x66a9893c... already in this table.
LINK,0xf48a3f7c0575c85cf4529aa220caf3c055773f1c,True,False,127,0.003144,0.70,0x Protocol: MainnetSettler,Verified source Exact Match; contract MainnetSettler; compiler v0.8.33; deployer is deployer.zeroexprot... (0x Protocol official),Strong evidence: official deployer plus verified contract name.
LINK,0x63242a4ea82847b20e506b63b0e2e2eff0cc6cb0,True,False,89,0.005670,0.40,KyberSwap: Aggregator Executor,Etherscan public name tag with #KyberSwap and #DEX tags; proxy contract; creator 0x697161A9...50F993cbc,Address is 42 chars as shown in the Etherscan URL. Counterparties include LI.FI Diamond and Lido wstETH.
UNI,0x990636ecb3ff04d33d92e970d3d588bf5cd8d086,False,True,81,0.002995,0.40,1inch: Aggregation Executor 5,Etherscan public name tag with #1inch tag,Shares deployer 0x56E44874...0FBDC6dcF with 0x4c3ccc98... in this table.
LINK,0x0e16d4d4281c65f37da7481c57d5d4953d64c74d,True,False,71,0.001461,0.80,Unlabelled routing contract,No name tag; unverified; routing path USDC -> Balancer -> WETH -> Bitget DEX Aggregator; also interacts with LI.FI Diamond,Transactions tab shows 3 external txns while ERC-20 transfers are frequent; the two tabs are not comparable.
LINK,0xc10ee9031f2a0b84766a86b55a8d90f357910fb4,True,False,68,0.001317,0.60,Unlabelled routing contract,No name tag; unverified with proxy hint; path LI.FI -> USDC -> Uniswap V4 Pool Manager -> GROW -> LI.FI,
LINK,0x365084b05fa7d5028346bd21d842ed0601bab5b8,True,False,62,0.000249,0.30,Unlabelled routing contract,No name tag; unverified proxy; interacts with Uniswap V4 Pool Manager and Uniswap V3 methods,
LINK,0x09ad820aac5779683b481c4674208a4e1b024afa,True,False,56,0.000244,0.70,Unlabelled DEX aggregator,Source verified only as Similar Match to 0x1af18F06...7e6cFd920 with a constructor-argument warning; proxy heuristic; contract name DexAggregatorCore is generic (OpenZeppelin 4.8.2 LibAsset.sol LibRouter.sol); no name tag,Deliberately not attributed to any protocol: a Similar Match does not establish provenance.
LINK,0x595c31c6108babc43caa81ab759a4aae91801a82,True,False,43,0.000285,0.30,Unlabelled routing contract,No name tag; unverified; swaps via Bitget DEX Aggregator (WLFI) and Bebop Blend (USDT),
LINK,0x420cafeaa7a2e44a404340397ac45b2f55fc8f73,True,False,42,0.000484,0.30,MEV Bot,No name tag; 25129 txns all via unknown hex selectors (0x16aeafdf 0x168eb72d) invoked by a single caller 0x619C5C0D...5795F3Fa0,Generic label: not merged with any other MEV Bot during entity resolution.
LINK,0x2c242c8da2c5b25191bb6d2d88b8703446d28fc6,True,False,33,0.000001,0.30,MEV Bot,No name tag; 131347 txns; repeated WETH<->WBTC swaps across Uniswap V3 WBTC 4 and Uniswap V4 Pool Manager (cross-pool arbitrage),Generic label: not merged during entity resolution.
LINK,0x88cc0800464fcef3e643a369e8a0532990995eee,True,False,28,0.000151,0.50,MEV Bot,No name tag; unverified proxy; 102498 txns; continuous withdrawals to a KuCoin deposit address,Generic label: not merged during entity resolution.
LINK,0x818acad67efa6a1b3936bd682b5a6bc9dcd864f8,True,False,7,0.000000,0.70,MEV Bot,No name tag; creator carries the Etherscan tag MEV Builder; chained swaps WETH->SWELL->WETH and WETH->cvxCRV->CRV->cvxCRV across Uniswap V3 SushiSwap and Convex,Weakest member of the broker set: 7 counterparties and betweenness rounds to zero at six decimals.
