tier,priority,address,in_tokens,counterparties,seed_frequency,old_identity,old_evidence,where_to_look,new_identity,new_evidence,erc20_transfer_count
B. 行为模式判定,2,0xb92fe925dc43a0ecde6c8b1a2709c170ec4fff4f,UNI,183.0,0.9,Unlabelled routing contract,ERC-20 Token Transfers tab,完整 ERC-20 转账（对手方、频率、路径）→ 顶部 Name Tag 复核,Relay: Router V3,"标签/源码（Etherscan Name Tag ""Relay: Router V3"" + 已验证源码 + #Relay标签）",9998
B. 行为模式判定,2,0x7f51c134230eb9e5aba42bc364d3d3eba26d9712,UNI,101.0,0.6,Unlabelled contract,"ERC-20 transfers >10,000",完整 ERC-20 转账（对手方、频率、路径）→ 顶部 Name Tag 复核,Unlabelled routing contract,行为推断（无Name Tag、无验证源码，ERC-20转账超1万笔，与SushiSwap/MEV Bot等多对手方交互）,>10000
B. 行为模式判定,2,0xce937da1ffd21673aa1e063459873f30189a2193,UNI,99.0,0.5,Unlabelled contract,"ERC-20 transfers >10,000",完整 ERC-20 转账（对手方、频率、路径）→ 顶部 Name Tag 复核,Unlabelled routing contract,行为推断（无Name Tag，源码已验证但部署者无明确协议归属，ERC-20转账超1万笔，与Market Maker/OKX DEX Router等交互）,>10000
B. 行为模式判定,2,0x06cff7088619c7178f5e14f0b119458d08d2f5ef,UNI,44.0,0.2,MEV Bot,Etherscan name tag,完整 ERC-20 转账（对手方、频率、路径）→ 顶部 Name Tag 复核,MEV Bot,"标签（Etherscan Name Tag ""MEV Bot: 0x06cf...5ef"" + #MEV Bot标签）",>10000
D. 具名但依据不详,2,0xa8195d26a8db123de6eeb9accb3cfd940f31bcdd,NEITHER,,,Fake_Phishing (flagged),Etherscan flag,确认依据：Name Tag？已验证源码？还是行为推断？,Unknown,"标签（Etherscan Name Tag ""Fake_Phishing3125048"" + Phish/Hack标签 + HashDit钓鱼警告，非合约EOA）",759
B. 行为模式判定,2,0x08baf37cfeaff1e8e2a8695ed9b7dc3cf96beb9d,NEITHER,,,Unlabelled contract,"ERC-20 transfers >10,000",完整 ERC-20 转账（对手方、频率、路径）→ 顶部 Name Tag 复核,Unlabelled routing contract,行为推断（无Name Tag，源码已验证但部署者无明确协议归属，ERC-20转账超1万笔，与MEV Bot/Disperse等多对手方交互）,>10000
B. 行为模式判定,2,0x49e55995ef73717895a638074de5af89fa1e301c,NEITHER,,,MEV Bot,Etherscan name tag,完整 ERC-20 转账（对手方、频率、路径）→ 顶部 Name Tag 复核,MEV Bot,"标签（Etherscan Name Tag ""MEV Bot: 0x49e5...01c"" + #MEV Bot标签）",>10000
B. 行为模式判定,2,0x399740157391a9f1bf4e9921a8834f9bc8f2678e,NEITHER,,,Unlabelled routing contract,ERC-20 Token Transfers tab,完整 ERC-20 转账（对手方、频率、路径）→ 顶部 Name Tag 复核,Unlabelled routing contract,行为推断（无Name Tag，源码已验证但部署者deploy-hub.eth无明确协议归属，ERC-20转账超1万笔）,>10000
B. 行为模式判定,2,0x7f54f05635d15cde17a49502fedb9d1803a3be8a,LINK+UNI,313.0,0.9,Suspected 0x Protocol router,verified source; deployer deployer.zeroexprot...,完整 ERC-20 转账（对手方、频率、路径）→ 顶部 Name Tag 复核,0x Protocol Router,标签/源码（已验证源码，部署者为deployer.zeroexprotocol.eth，可追溯至0x Protocol）,>10000
B. 行为模式判定,2,0x4c3ccc98c01103be72bcfd29e1d2454c98d1a6e3,LINK+UNI,230.0,0.9,Unlabelled routing contract,No name tag; bytecode unverified; methods Execute/Withdraw; counterparties are DEX pools and aggregators,完整 ERC-20 转账（对手方、频率、路径）→ 顶部 Name Tag 复核,Unlabelled routing contract,行为推断（无Name Tag、无验证源码，ERC-20转账超1万笔，方法含Execute/Withdraw，与DEX/MEV多对手方交互）,>10000
