token,address,verified_identity,evidence,erc20_transfers
UNI,0xb92fe925dc43a0ecde6c8b1a2709c170ec4fff4f,Relay: Router V3,"标签/源码（Etherscan Name Tag ""Relay: Router V3"" + 已验证源码 + #Relay标签）",9998
UNI,0x7f51c134230eb9e5aba42bc364d3d3eba26d9712,Unlabelled routing contract,行为推断（无Name Tag、无验证源码，ERC-20转账超1万笔，与SushiSwap/MEV Bot等多对手方交互）,>10000
UNI,0xce937da1ffd21673aa1e063459873f30189a2193,Unlabelled routing contract,行为推断（无Name Tag，源码已验证但部署者无明确协议归属，ERC-20转账超1万笔，与Market Maker/OKX DEX Router等交互）,>10000
UNI,0x06cff7088619c7178f5e14f0b119458d08d2f5ef,MEV Bot,"标签（Etherscan Name Tag ""MEV Bot: 0x06cf...5ef"" + #MEV Bot标签）",>10000
NEITHER,0xa8195d26a8db123de6eeb9accb3cfd940f31bcdd,Unknown,"标签（Etherscan Name Tag ""Fake_Phishing3125048"" + Phish/Hack标签 + HashDit钓鱼警告，非合约EOA）",759
NEITHER,0x08baf37cfeaff1e8e2a8695ed9b7dc3cf96beb9d,Unlabelled routing contract,行为推断（无Name Tag，源码已验证但部署者无明确协议归属，ERC-20转账超1万笔，与MEV Bot/Disperse等多对手方交互）,>10000
NEITHER,0x49e55995ef73717895a638074de5af89fa1e301c,MEV Bot,"标签（Etherscan Name Tag ""MEV Bot: 0x49e5...01c"" + #MEV Bot标签）",>10000
NEITHER,0x399740157391a9f1bf4e9921a8834f9bc8f2678e,Unlabelled routing contract,行为推断（无Name Tag，源码已验证但部署者deploy-hub.eth无明确协议归属，ERC-20转账超1万笔）,>10000
LINK+UNI,0x7f54f05635d15cde17a49502fedb9d1803a3be8a,0x Protocol Router,标签/源码（已验证源码，部署者为deployer.zeroexprotocol.eth，可追溯至0x Protocol）,>10000
LINK+UNI,0x4c3ccc98c01103be72bcfd29e1d2454c98d1a6e3,Unlabelled routing contract,行为推断（无Name Tag、无验证源码，ERC-20转账超1万笔，方法含Execute/Withdraw，与DEX/MEV多对手方交互）,>10000
LINK+UNI,0x8f10b468b06c6fd214b65f87778827f7d113f996,Unlabelled routing contract,行为推断（无Name Tag、无验证源码，ERC-20转账超1万笔，高频Swap与Uniswap V3等DEX交互）,>10000
LINK+UNI,0x603206d6105217dd972e4ab30676a220ca393346,Unlabelled routing contract,行为推断（无Name Tag、无验证源码，ERC-20转账超1万笔，方法含Withdraw，与MEV Bot/Disperse等交互）,>10000
LINK+UNI,0xebe0fa42523f69ea1e97f5b08282654c19c2c0ee,Unlabelled routing contract,行为推断（无Name Tag，源码已验证但部署者无明确协议归属，ERC-20转账超1万笔，与Rainbow Router/Uniswap等DEX交互）,>10000
LINK+UNI,0xd226997439ecfbeff8e110c8c78c8a7eefd19f89,MEV Bot,"标签（Etherscan Name Tag ""MEV Bot: 0xd226...f89"" + #MEV Bot标签）",>10000
